ts,equity,cash,gross_exposure,n_positions,fees_paid,slippage_paid
1790310197,9992.5012,4995.0,4997.5012,2,5.0,2.4988
1790313703,9998.2228,2492.0063,7506.2166,3,7.5005,3.7484
1790317673,9999.6545,0.0,9999.6545,4,9.99,4.9925
1790321023,10046.2282,0.0,10046.2282,4,9.99,4.9925
1790324671,10162.0562,0.0,10162.0562,4,9.99,4.9925
1790328239,10169.3776,0.0,10169.3776,4,9.99,4.9925
1790331771,10142.3544,0.0,10142.3544,4,9.99,4.9925
1790335355,10291.9813,0.0,10291.9813,5,12.1868,6.0909
1790339270,10238.4841,-0.0,10238.4841,6,15.4103,7.7399
1790342655,10248.7421,-0.0,10248.7421,6,15.4103,7.7399
1790346257,10143.6845,-0.0,10143.6845,6,15.4103,7.7399
1790349850,10208.4557,-0.0,10208.4557,6,15.4103,7.7399
1790353468,10190.3502,-0.0,10190.3502,6,15.4103,7.7399
1790356918,10174.754,-0.0,10174.754,6,15.4103,7.7399
1790360650,10241.1899,-0.0,10241.1899,6,15.4103,7.7399
1790364042,10221.477,-0.0,10221.477,6,15.4103,7.7399
1790367656,10244.6505,986.9748,9257.6757,5,18.4987,9.3641
1790371313,10186.2459,986.9748,9199.2712,5,18.4987,9.3641
1790374905,10253.5142,0.0,10253.5142,10,27.6371,13.933
1790378419,10314.0242,0.0,10314.0242,10,27.6371,13.933
1790382482,10297.5946,0.0,10297.5946,10,27.6371,13.933
1790385620,10362.2678,0.0,10362.2678,10,27.6371,13.933
1790389303,10366.5214,0.0,10366.5214,10,27.6371,13.933
1790392896,10279.7046,0.0,10279.7046,10,27.6371,13.933
1790396532,10304.3442,0.0,10304.3442,10,27.6371,13.933
1790400054,10271.6817,0.0,10271.6817,10,27.6371,13.933
