ts,account,pair,side,qty,price,ref_price,notional,fee,slippage_cost,reason,equity_after
1789536103,challenger,ETH,buy,1.0401731,2403.4461225,2402.245,2500.0,2.5,1.24937531,"enter long: z -2.51 vs 240h mean (entry -2.0, exit -0.5); vol 59% -> weight 0.25",9996.25062469
1789536103,challenger,SOL,buy,25.70863341,97.2435975,97.195,2500.0,2.5,1.24937531,"enter long: z -2.23 vs 240h mean (entry -2.0, exit -0.5); vol 57% -> weight 0.25",9992.50124938
1789536103,challenger,ADA,buy,12763.50990529,0.19587089,0.195773,2500.0,2.5,1.24937531,"enter long: z -2.24 vs 240h mean (entry -2.0, exit -0.5); vol 74% -> weight 0.25",9988.75187406
